"country","year","happiness_score","log_gdp_per_capita","social_support","healthy_life_expectancy_at_birth","freedom_to_make_life_choices","generosity","perceptions_of_corruption","cpi_percentage","unemployment_rate"
"Afghanistan",2010,"4.758","7.614","0.539","51.1","0.6","0.121","0.707","2.18","0"
"Afghanistan",2011,"3.832","7.581","0.521","51.4","0.496","0.164","0.731","11.8","0"
"Afghanistan",2012,"3.783","7.661","0.521","51.7","0.531","0.238","0.776","6.44","1.69"
"Afghanistan",2013,"3.572","7.68","0.484","52","0.578","0.063","0.823","7.39","0"
"Afghanistan",2014,"3.131","7.671","0.526","52.3","0.509","0.106","0.871","4.67","7.91"
"Afghanistan",2015,"3.983","7.654","0.529","52.6","0.389","0.082","0.881","-0.66","0"
"Afghanistan",2016,"4.22","7.65","0.559","52.925","0.523","0.044","0.793","4.38","0"
"Afghanistan",2017,"2.662","7.648","0.491","53.25","0.427","-0.119","0.954","4.98","11.18"
"Afghanistan",2018,"2.694","7.631","0.508","53.575","0.374","-0.091","0.928","0.63","0"
"Afghanistan",2019,"2.375","7.64","0.42","53.9","0.394","-0.106","0.924","2.3","0"
"Afghanistan",2021,"2.436","7.324","0.454","54.55","0.394","-0.081","0.946","0","5.58"
"Afghanistan",2022,"1.281","0","0.228","54.875","0.368","0","0.733","0","0"
"Bangladesh",2010,"4.858","8.13","0.549","61.2","0.659","-0.03","0.774","0","3.38"
"Bangladesh",2011,"4.986","8.181","0.606","61.72","0.838","-0.083","0.757","11.4","0"
"Bangladesh",2012,"4.724","8.231","0.582","62.24","0.668","-0.048","0.765","6.22","0"
"Bangladesh",2013,"4.66","8.277","0.53","62.76","0.742","-0.029","0.743","7.53","4.43"
"Bangladesh",2014,"4.636","8.323","0.577","63.28","0.736","-0.112","0.789","6.99","0"
"Bangladesh",2015,"4.633","8.375","0.601","63.8","0.815","-0.082","0.721","6.19","0"
"Bangladesh",2016,"4.556","8.431","0.649","63.925","0.875","-0.102","0.688","5.51","4.35"
"Bangladesh",2017,"4.31","8.483","0.713","64.05","0.896","-0.001","0.635","5.7","4.37"
"Bangladesh",2018,"4.499","8.542","0.706","64.175","0.901","-0.056","0.701","5.54","0"
"Bangladesh",2019,"5.114","8.607","0.673","64.3","0.902","-0.064","0.656","5.59","0"
"Bangladesh",2020,"5.28","8.629","0.739","64.425","0.777","-0.023","0.742","5.69","0"
"Bangladesh",2021,"4.123","8.685","0.485","64.55","0.893","0.092","0.746","5.55","0"
"Bangladesh",2022,"3.408","8.743","0.404","64.675","0.865","-0.055","0.617","7.7","0"
"Botswana",2010,"3.553","9.446","0.866","50.6","0.826","-0.138","0.814","0","17.86"
"Botswana",2011,"3.52","9.492","0.86","51.04","0.813","-0.245","0.816","8.46","0"
"Botswana",2012,"4.836","9.471","0.837","51.48","0.799","-0.195","0.814","7.54","0"
"Botswana",2013,"4.128","9.557","0.856","51.92","0.767","-0.145","0.749","5.88","0"
"Botswana",2014,"4.031","9.593","0.859","52.36","0.791","-0.097","0.743","4.4","0"
"Botswana",2015,"3.762","9.524","0.816","52.8","0.857","-0.105","0.86","3.06","0"
"Botswana",2016,"3.499","9.573","0.768","53.075","0.852","-0.244","0.729","2.81","0"
"Botswana",2017,"3.505","9.593","0.768","53.35","0.817","-0.24","0.731","3.31","0"
"Botswana",2018,"3.461","9.613","0.795","53.625","0.818","-0.246","0.807","3.24","0"
"Botswana",2019,"3.471","9.624","0.774","53.9","0.833","-0.231","0.792","2.77","20.09"
"Botswana",2022,"3.435","9.629","0.75","54.725","0.739","-0.215","0.831","11.67","23.62"
"Comoros",2010,"3.812","8.015","0.721","57","0.529","0","0.741","0","0"
"Comoros",2011,"3.838","8.034","0.722","57.24","0.5","-0.081","0.732","1.84","0"
"Comoros",2012,"3.956","8.044","0.719","57.48","0.534","-0.127","0.651","6.31","0"
"Comoros",2018,"3.973","8.1","0.621","58.725","0.56","0.079","0.794","0","0"
"Comoros",2019,"4.609","8.099","0.632","58.9","0.538","0.071","0.762","0","0"
"Comoros",2022,"3.545","8.075","0.472","59.425","0.481","-0.014","0.732","0","0"
"Malawi",2011,"3.946","7.232","0.613","50.66","0.733","0.073","0.853","7.62","1.74"
"Malawi",2012,"4.279","7.223","0.604","51.72","0.637","0.144","0.886","21.27","0"
"Malawi",2013,"4.035","7.245","0.563","52.78","0.752","0.053","0.857","27.28","4.98"
"Malawi",2014,"4.563","7.273","0.512","53.84","0.786","0.036","0.824","23.79","0"
"Malawi",2015,"3.868","7.273","0.494","54.9","0.801","0.033","0.835","21.87","0"
"Malawi",2016,"3.476","7.27","0.524","55.45","0.81","0.04","0.824","21.71","0"
"Malawi",2017,"3.417","7.283","0.555","56","0.848","-0.001","0.735","11.54","3.54"
"Malawi",2018,"3.335","7.299","0.528","56.55","0.799","0.046","0.766","12.42","0"
"Malawi",2019,"3.869","7.325","0.549","57.1","0.765","-0.023","0.68","9.37","0"
"Malawi",2021,"3.635","7.307","0.558","58.2","0.757","-0.01","0.74","9.33","0"
"Malawi",2022,"3.356","7.296","0.503","58.75","0.744","0.02","0.755","20.95","0"
"Sierra Leone",2010,"4.134","7.245","0.812","47.8","0.726","0.011","0.91","7.19","0"
"Sierra Leone",2011,"4.502","7.28","0.782","48.18","0.77","0.004","0.855","6.79","0"
"Sierra Leone",2013,"4.514","7.557","0.708","48.94","0.72","-0.072","0.856","5.52","0"
"Sierra Leone",2014,"4.5","7.577","0.869","49.32","0.681","0.034","0.786","4.64","4.68"
