"year","country","happiness_score"
2022,"Afghanistan","1.281"
2022,"Afghanistan","1.281"
2022,"Afghanistan","1.281"
2022,"Lebanon","2.352"
2022,"Lebanon","2.352"
2022,"Lebanon","2.352"
2022,"Sierra Leone","2.56"
2022,"Sierra Leone","2.56"
2022,"Sierra Leone","2.56"
2022,"Congo (Kinshasa)","3.207"
2022,"Congo (Kinshasa)","3.207"
2022,"Congo (Kinshasa)","3.207"
2022,"Zimbabwe","3.296"
2022,"Zimbabwe","3.296"
2022,"Zimbabwe","3.296"
2022,"Malawi","3.356"
2022,"Malawi","3.356"
2022,"Malawi","3.356"
2022,"Bangladesh","3.408"
2022,"Bangladesh","3.408"
2022,"Bangladesh","3.408"
2022,"Botswana","3.435"
2022,"Botswana","3.435"
2022,"Botswana","3.435"
2022,"Comoros","3.545"
2022,"Comoros","3.545"
2022,"Comoros","3.545"
2022,"Tanzania","3.616"
2022,"Tanzania","3.616"
2022,"Tanzania","3.616"
2022,"Ethiopia","3.628"
2022,"Ethiopia","3.628"
2022,"Ethiopia","3.628"
2022,"India","3.93"
2022,"India","3.93"
2022,"India","3.93"
2022,"Madagascar","4.019"
2022,"Madagascar","4.019"
2022,"Madagascar","4.019"
2022,"Egypt","4.024"
2022,"Egypt","4.024"
2022,"Egypt","4.024"
2022,"Liberia","4.042"
2022,"Liberia","4.042"
2022,"Liberia","4.042"
2022,"Ghana","4.191"
2022,"Ghana","4.191"
2022,"Ghana","4.191"
2022,"Mali","4.211"
2022,"Mali","4.211"
2022,"Mali","4.211"
2022,"Benin","4.217"
2022,"Benin","4.217"
2022,"Benin","4.217"
2022,"Togo","4.239"
2022,"Togo","4.239"
2022,"Togo","4.239"
2022,"Cambodia","4.25"
2022,"Cambodia","4.25"
2022,"Cambodia","4.25"
2022,"Tunisia","4.261"
2022,"Tunisia","4.261"
2022,"Tunisia","4.261"
2022,"Gambia","4.279"
2022,"Gambia","4.279"
2022,"Gambia","4.279"
2022,"Jordan","4.356"
2022,"Jordan","4.356"
2022,"Jordan","4.356"
2022,"Chad","4.397"
2022,"Chad","4.397"
2022,"Chad","4.397"
2022,"Kenya","4.448"
2022,"Kenya","4.448"
2022,"Kenya","4.448"
2022,"Niger","4.501"
2022,"Niger","4.501"
2022,"Niger","4.501"
2022,"Morocco","4.596"
2022,"Morocco","4.596"
2022,"Morocco","4.596"
2022,"Ukraine","4.637"
2022,"Ukraine","4.637"
2022,"Ukraine","4.637"
2022,"Cameroon","4.712"
2022,"Cameroon","4.712"
2022,"Cameroon","4.712"
2022,"Mauritania","4.724"
2022,"Mauritania","4.724"
2022,"Mauritania","4.724"
2022,"Mozambique","4.74"
2022,"Mozambique","4.74"
2022,"Mozambique","4.74"
2022,"Senegal","4.907"
2022,"Senegal","4.907"
2022,"Senegal","4.907"
2022,"State of Palestine","4.908"
2022,"State of Palestine","4.908"
2022,"State of Palestine","4.908"
2022,"Namibia","4.949"
2022,"Namibia","4.949"
2022,"Namibia","4.949"
2022,"Iran","4.977"
2022,"Iran","4.977"
2022,"Iran","4.977"
2022,"Gabon","5.14"
2022,"Gabon","5.14"
2022,"Gabon","5.14"
2022,"North Macedonia","5.167"
2022,"North Macedonia","5.167"
2022,"North Macedonia","5.167"
2022,"Albania","5.212"
2022,"Albania","5.212"
2022,"Albania","5.212"
2022,"Georgia","5.293"
2022,"Georgia","5.293"
2022,"Georgia","5.293"
2022,"Guinea","5.317"
2022,"Guinea","5.317"
2022,"Guinea","5.317"
2022,"Bulgaria","5.378"
2022,"Bulgaria","5.378"
2022,"Bulgaria","5.378"
2022,"Armenia","5.382"
2022,"Armenia","5.382"
2022,"Armenia","5.382"
2022,"Nepal","5.474"
2022,"Nepal","5.474"
2022,"Nepal","5.474"
2022,"Dominican Republic","5.518"
2022,"Dominican Republic","5.518"
2022,"Dominican Republic","5.518"
2022,"Croatia","5.579"
2022,"Croatia","5.579"
2022,"Croatia","5.579"
2022,"Indonesia","5.585"
2022,"Indonesia","5.585"
2022,"Indonesia","5.585"
2022,"Kyrgyzstan","5.668"
2022,"Kyrgyzstan","5.668"
2022,"Kyrgyzstan","5.668"
2022,"Moldova","5.687"
2022,"Moldova","5.687"
2022,"Moldova","5.687"
2022,"Mauritius","5.741"
2022,"Mauritius","5.741"
2022,"Mauritius","5.741"
2022,"Mongolia","5.788"
2022,"Mongolia","5.788"
